4175,abomination,warlock
5375,abusive sergeant,rogue
5153,acolyte of pain,druid
-115,al'akir the windlord,mage
602,alarm-o-bot,mage
602,alarm-o-bot,warlock
4,aldor peacekeeper,druid
4,aldor peacekeeper,mage
9096,alexstrasza,warlock
0,ancestor's call,hunter
0,ancestor's call,mage
0,ancestor's call,priest
0,ancestor's call,shaman
3,ancestral healing,warlock
2993,ancestral healing,shaman
10,ancestral spirit,druid
4579,ancient brewmaster,warrior
-5,ancient of lore,paladin
-80,ancient of war,mage
202,ancient watcher,shaman
204,ancient watcher,priest
204,ancient watcher,rogue
101,angry chicken,shaman
101,angry chicken,warrior
102,angry chicken,priest
202,angry chicken,druid
802,angry chicken,hunter
-94,anima golem,priest
8,anima golem,shaman
30,anima golem,hunter
33,anima golem,rogue
14,animal companion,rogue
4389,annoy-o-tron,hunter
4783,annoy-o-tron,priest
4783,annoy-o-tron,warrior
4784,annoy-o-tron,shaman
3538,antique healbot,priest
3567,antique healbot,hunter
4353,antique healbot,shaman
5133,antique healbot,rogue
-3,anub'ar ambusher,mage
2,arathi weaponsmith,warlock
-10,arcane explosion,hunter
-9,arcane explosion,priest
-6,arcane explosion,shaman
4537,arcane explosion,mage
4388,arcane golem,mage
0,arcane intellect,paladin
-10,arcane missiles,druid
-5,arcane missiles,paladin
-3,arcane missiles,hunter
-3,arcane missiles,priest
-2,arcane missiles,shaman
5595,arcane nullifier x-21,mage
5997,arcane nullifier x-21,rogue
-6,arcane shot,rogue
-5,arcane shot,priest
-4,arcane shot,shaman
5994,arcane shot,hunter
23,arcanite reaper,druid
7343,arcanite reaper,warrior
4982,archmage,warrior
5186,archmage,rogue
40,archmage antonidas,warrior
64,archmage antonidas,rogue
8150,argent commander,priest
8260,argent commander,warrior
8263,argent commander,shaman
8466,argent commander,hunter
15,argent protector,shaman
16,argent protector,warrior
17,argent protector,mage
21,argent protector,priest
24,argent protector,hunter
-8,armorsmith,mage
0,armorsmith,hunter
0,armorsmith,priest
0,armorsmith,shaman
0,armorsmith,warlock
33,assassin's blade,paladin
21,auchenai soulpriest,paladin
1807,axe flinger,warrior
-10,backstab,hunter
-9,backstab,priest
-8,backstab,druid
-7,backstab,mage
-6,backstab,shaman
8921,bane of doom,warlock
3014,baron rivendare,mage
22,battle rage,rogue
37,battle rage,paladin
6172,big game hunter,warlock
-7,bite,paladin
-4,bite,rogue
4586,blackwing corruptor,mage
4986,blackwing technician,warlock
4989,blackwing technician,rogue
6202,blade flurry,rogue
22,blessed champion,rogue
13,blessing of kings,mage
13,blessing of kings,warrior
10,blessing of might,warrior
11,blessing of might,druid
14,blessing of wisdom,shaman
14,blessing of wisdom,warlock
19,blessing of wisdom,priest
22,blessing of wisdom,hunter
24,blessing of wisdom,rogue
-430,blizzard,druid
-184,blizzard,priest
-48,blizzard,shaman
-5,blizzard,paladin
23,blood imp,paladin
6388,blood knight,mage
6389,blood knight,warrior
5002,bloodfen raptor,mage
5002,bloodfen raptor,warrior
39,bloodlust,warlock
5402,bloodmage thalnos,druid
1401,bloodsail corsair,druid
1800,bloodsail corsair,warlock
5606,bloodsail raider,paladin
4977,bluegill warrior,warrior
5006,bolvar fordragon,paladin
8054,bomb lobber,paladin
3196,booty bay bodyguard,warrior
6943,boulderfist ogre,mage
7004,boulderfist ogre,paladin
-156,brawl,warlock
5804,burly rockjaw trogg,shaman
5805,burly rockjaw trogg,warrior
5806,burly rockjaw trogg,priest
5807,burly rockjaw trogg,hunter
5807,burly rockjaw trogg,rogue
8728,cairne bloodhoof,warlock
8805,cairne bloodhoof,rogue
0,call pet,priest
0,call pet,shaman
0,call pet,warrior
3196,call pet,hunter
3002,captain greenskin,mage
-65,cenarius,warlock
8864,cenarius,druid
9,charge,druid
9,charge,mage
23,charge,paladin
7402,chillwind yeti,shaman
7403,chillwind yeti,priest
7404,chillwind yeti,hunter
8407,chromaggus,warrior
-8,claw,rogue
-2,cleave,druid
6998,cleave,warrior
1879,clockwork giant,priest
1988,clockwork giant,shaman
1997,clockwork giant,rogue
1998,clockwork giant,hunter
4204,clockwork gnome,paladin
10,cobalt guardian,rogue
3597,cobalt guardian,paladin
0,cobra shot,paladin
15,coghammer,warrior
2202,cogmaster,paladin
-3,cogmaster's wrench,mage
13,cold blood,warrior
1210,coldlight oracle,druid
1002,coldlight seer,hunter
1002,coldlight seer,priest
1002,coldlight seer,shaman
1002,coldlight seer,warrior
20,commanding shout,druid
5718,commanding shout,warrior
5,conceal,shaman
7,conceal,priest
8,conceal,hunter
14,conceal,paladin
-7,consecration,warrior
2680,core hound,priest
2725,core hound,warlock
2740,core hound,mage
2789,core hound,shaman
2799,core hound,rogue
2999,core hound,hunter
0,core rager,mage
0,core rager,rogue
0,core rager,warlock
-3,corruption,warrior
-12,counterspell,paladin
20,crackle,paladin
0,cruel taskmaster,mage
0,cruel taskmaster,paladin
0,crush,rogue
8200,crush,warrior
6285,cult master,priest
6617,cult master,shaman
6648,cult master,hunter
1405,dalaran mage,rogue
3406,dancing swords,warlock
6,dark cultist,warrior
